student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,caffeine_intake,sleep_quality,diet_score,internet_score,part_job_score,stress_proxy,focus_proxy
S3695,23.963637423590598,Female,2.4814260345781967,2.784593646449698,0.5880796753666471,No,71.31681749017716,6.753140521481452,Fair,5.031128570291415,High School,Good,2.172458833123734,Yes,51.05179640073484,2.4835313424487544,4.814784821330315,0,1,0,3.8102925107210877,6.9003073432364
S3696,18.934017662189042,Female,3.904530975542175,1.3029676049537895,1.9823601642078161,No,82.05852029028358,7.155851280804785,Good,1.9643504393687778,Bachelor,Average,1.772089945772157,Yes,67.20762523499927,2.856038869618663,4.1970072590870275,1,0,0,4.4993859428623,6.661477318221191
S3697,24.0,Other,4.190203214951878,2.2285993006213802,0.44155984689163724,Yes,89.8120362192108,6.863675421240766,Poor,3.032935110163635,High School,Good,9.978701609341822,Yes,90.05796694360238,4.300572969884531,4.859310901162342,-1,1,1,4.539682847525534,7.226688852456632
S3698,24.0,Male,2.298169982567093,2.544196863970834,1.5034240991918526,No,86.78122023579589,5.756593227071922,Good,3.0450790732332313,High School,Good,4.017682812845151,No,60.00589454783474,2.243252833877621,4.962672465280462,1,1,0,3.3992270246736385,7.070616524020484
S3699,23.974296923043212,Female,1.561526602100918,3.1457375159808207,2.9105773605493472,No,82.85175021400487,7.7717070644022,Fair,0.0,Bachelor,Good,4.918446201817684,Yes,43.60641796804192,1.3322314378571707,4.200335341740933,0,1,0,4.363598031515686,6.176133323271559
S3700,18.122926144321134,Female,2.6864870454933576,2.667579881761945,1.6480539538082764,No,76.99016144039045,3.9930772042739244,Good,0.015568013102824782,High School,Average,3.003977558155222,No,36.868089024620055,3.5598960432233393,1.9655787666532432,1,0,0,5.382973332994244,4.7889141916743725
S3701,17.16763919953448,Other,4.3371290482854175,3.4176107284799,0.8194078836622425,No,74.46763504740547,6.615244208029004,Good,5.780983156871823,High School,Average,6.720268719839128,No,76.0096618540125,4.2277874713833015,7.495819532454471,1,0,0,3.208580820743469,8.17084386110531
S3702,17.0,Male,0.0,2.6120736480371787,1.68481861248545,No,81.63984499777365,7.4547369552984755,Good,4.989305714330655,High School,Average,2.81542569983963,No,32.13059124776935,1.0,7.428493303741025,1,0,0,2.9724714154567238,7.646246624789165
S3703,17.903415186907207,Male,3.443509260765209,0.10224509110818161,1.9603264484120801,No,96.53417595044286,6.336366179691056,Fair,2.9352268116191356,Bachelor,Poor,3.18085040093977,No,72.02930693250605,2.3662503473891543,4.840229757451302,0,-1,0,5.193312927540225,6.214625365077132
S3704,21.983800019803834,Male,3.637506351829793,1.5063929911260137,2.3341177317133455,No,82.99090539271027,9.505728771315441,Good,4.9190501373259705,Bachelor,Poor,6.034655714518353,No,79.45548626057497,3.1598526373023463,7.472161622945376,1,-1,0,3.3272510555374346,9.041373619102226
S3705,23.035500032353436,Female,3.1689576864472806,1.864987634368207,2.724584301918896,Yes,63.540216160807724,7.214538865331491,Fair,4.93066184150689,High School,Good,9.946068253926992,No,70.3599875171598,5.046616679988238,5.361424248224596,0,1,1,3.9231715885550305,6.337779591600137
S3706,23.93946235676867,Male,2.8543473383126394,3.8620273373145415,2.0732084619487243,No,79.67535585561515,6.3671702860274815,Good,5.949704748596998,Bachelor,Good,5.13949303616053,Yes,51.48550452494441,3.177529585383548,6.378775687228146,1,1,0,2.8571526572871564,7.94032513748744
S3707,19.156050916663364,Female,3.702082544720757,1.22080112764545,1.946517541352523,No,81.47102505115008,7.098401370686452,Good,1.9699079767047367,Bachelor,Average,2.1975005178532716,Yes,67.68479484662538,4.952959848438906,1.0,1,0,0,4.926744883479956,5.029863882986277
S3708,19.048939425650268,Male,3.241200407805595,2.5171869938141,1.5636486224293278,No,71.43338949985049,5.6602560217286975,Fair,0.01681796492382911,Master,Average,7.257660243786688,Yes,55.21118285277938,4.431114804248333,2.7367664768157267,0,0,0,4.862956713079547,5.392260843203937
S3709,19.0045523856252,Female,3.3575293853149244,0.5591863119684675,1.294194984642397,Yes,79.55679234460771,5.885207651049621,Good,1.9257145830520737,High School,Good,9.7313441403752,No,72.57458815482528,3.2280548357626957,5.700669655159901,1,1,1,3.2151186019410445,7.4585441736746265
S3710,23.834288896962498,Female,3.5803900431480877,1.0369475028498143,2.4779868793743813,No,100.0,5.705642935512961,Poor,2.052467187661863,Bachelor,Average,3.1968861394072365,No,72.6286944323151,2.5217469304667057,1.7503227568178759,-1,0,0,6.403565236032114,5.07270498892687
S3711,20.848148308295254,Female,4.363825564491453,1.0209778260972193,1.9717640851696008,Yes,77.72411311766439,4.59648148649291,Fair,0.07452188166155922,Bachelor,Average,7.834707427231406,No,72.19998060715359,5.5575459043981725,2.7295609216439334,0,0,1,6.0519487425835345,4.142634897656027
S3712,19.032429865568748,Male,5.290859345492054,2.6586081995636435,0.0,Yes,87.36196611207863,8.602582097505639,Fair,5.073483069270192,High School,Average,9.042948152477914,Yes,98.15900858993844,3.8956138784888856,7.138747993471855,0,0,1,3.873319994976277,8.167569695985428
S3713,19.75388785458364,Male,3.36368790112377,1.5875697247371892,1.8889346192419443,No,92.0434746387322,4.564796512042085,Good,6.0,Master,Average,4.087037920869106,No,70.46272992779897,3.9665185519934534,5.315039047968027,1,0,0,3.205867144256036,6.816579108032278
S3714,17.116863395179013,Male,3.2117065531593796,2.568347999760189,2.7455310869751464,No,100.0,7.03992648445406,Fair,0.942441869918694,High School,Good,10.0,Yes,74.92126444556162,2.5685510460902607,6.696341203307666,0,1,0,3.4828792064828624,8.334396615372375
S3715,17.0,Other,4.006703418607338,1.401598275997212,0.0,Yes,99.87071725839631,6.525471521431642,Fair,1.9725860430440578,High School,Poor,6.066814938386191,Yes,80.7955696418651,4.279566740530605,3.042320324866649,0,-1,1,5.605006782977517,5.704713954626364
S3716,21.374269063831292,Male,3.891658036873994,1.7844006820162386,2.0433193153777034,No,74.19121071305118,6.489217397963197,Poor,2.0249734570650846,Master,Average,2.0397210914115003,No,64.8463899601158,3.152488127029366,3.587710794227011,-1,0,0,5.9352332551241345,5.875881839072951
S3717,20.26634501773998,Female,3.693697806691428,2.3124638394563632,2.1134778667502396,Yes,90.94570144026768,8.64979296516685,Fair,1.9569650052281364,High School,Good,9.880718871633688,No,88.03930844079255,3.7185382049135565,5.695688640399317,0,1,1,4.127318746111582,7.833519893035558
S3718,17.0,Female,2.6423424040938137,1.6411839370972878,4.20123330514745,No,91.29441122367851,7.562264544048092,Poor,4.882677882035027,,Average,6.759719905008149,No,64.45978218962918,1.2212225709863533,6.019814885136319,-1,0,0,4.344438284801806,6.93813609322643
S3719,20.987728180856625,Male,0.0,2.4414969836738476,2.8632488151189057,No,86.21025163941911,3.8303232512544176,Poor,2.9491254442757895,,Average,7.8770038193841065,No,30.09303072147844,2.578115436850405,4.835553841275892,-1,0,0,4.751512402066289,6.27413240913816
S3720,23.114895059964883,Male,0.8001137531826055,2.3776834851040842,2.575939198742441,No,89.28918299073024,7.017134484683293,Fair,0.16554702921214742,High School,Poor,1.200264857599027,No,23.980240380267706,2.7795489118724204,2.387102224269644,0,-1,0,6.626592106167114,5.08974436693371
S3721,20.196554592863485,Female,4.784366613081662,2.0015068489960344,3.488100012274739,No,99.66292384083158,5.839812727629965,Good,0.0,Bachelor,Good,7.004671573275134,Yes,70.8620435868321,4.407122216164526,4.149760191926646,1,1,0,3.7462568610825473,6.730238190855473
S3722,19.81096329719723,Male,0.4293851867385968,1.6137714525358529,3.73921262661315,Yes,80.68346562747213,7.736355485330588,Good,3.9196164899725616,,Average,3.236520580509775,Yes,29.894740716959177,2.9529543195606407,6.680769144220685,1,0,1,4.352503244485327,7.691496793713022
S3723,18.793843383665614,Male,5.296201980133659,2.7183513447468393,4.327365418499045,No,90.77081169566446,6.980883661101167,Fair,0.9446126961456092,Bachelor,Poor,3.897856195184435,Yes,74.9311694395363,3.9836472154279017,3.5783912226189862,0,-1,0,5.884949626772123,5.64243763117435
S3724,17.0,Male,3.5505124695822428,3.6672137497282105,2.6789783951260793,No,93.16771135958315,8.30456722367226,Fair,3.056399795978947,High School,Average,8.111817855215879,Yes,72.96832546520659,2.8197873713203423,6.587037085281387,0,0,0,3.795637280249159,7.72806776305827
S3725,18.06725081635296,Male,4.973099520414216,4.335593219837166,1.3888670981341424,Yes,97.1675612955333,6.655813837598496,Fair,4.035243718375332,High School,Average,3.0238854081623137,No,78.34408516657678,4.431829684251606,3.216565936914588,0,0,1,5.55648890177389,5.455451824218511
S3726,23.057341684405984,Female,1.6598374876488406,1.0334288538272451,3.107789545795126,No,82.78236465004015,5.4758585500679935,Fair,4.071521568435453,Master,Good,10.0,Yes,62.74799839866857,2.835078195575256,4.938215334506441,0,1,0,3.075840306839428,7.739262324520832
S3727,20.12345694826636,Female,3.677553007615908,1.944260575536111,2.4563387855143426,No,81.39538353983211,6.555181438614762,Fair,2.256472405082255,Bachelor,Good,4.968205149508228,Yes,62.08500362711536,1.80750229905964,5.007392418560148,0,1,0,4.062915979809096,6.968867471002333
S3728,21.861548936453058,Female,1.1036422468141094,1.7577917362862885,2.6128543911738347,No,94.46949517700465,5.250588441980171,Fair,3.083148923539915,,Average,2.9818469395110534,No,35.51272449175754,3.45884757937807,2.4444651151412744,0,0,0,5.3952406650683775,5.4139984842652655
S3729,17.0,Female,2.229956471534202,2.317173186640346,2.2972439568214287,Yes,94.12100026511474,6.077021199415711,Poor,5.091093640230249,Bachelor,Average,6.173287285072588,No,61.9493955192259,3.568455518114739,3.5338020448811345,-1,0,1,5.7595147174844605,5.619190444386299
S3730,18.099019106957584,Female,5.070900187659474,3.714937788196014,1.1518162428723797,No,96.95598560211958,7.45222493866772,Fair,2.2896003377122374,Bachelor,Average,8.702489223992373,Yes,100.0,4.103847051773994,5.062180144944909,0,0,0,4.296566181826564,6.932153439056884
S3731,17.0,Male,4.34190630602229,2.0005982954577135,1.851534169861457,No,78.8457432285278,10.0,Fair,4.049578355599062,,Good,1.9796211247537638,No,83.55976941991185,2.5997809649546118,5.585889917360981,0,1,0,4.0829247431768625,7.90371160180538
S3732,21.767056458004053,Male,1.5929693875445223,2.8941894440668743,2.008276376873465,No,98.10650594681053,6.079877235801822,Good,0.0,High School,Good,5.763504289599236,No,50.111596368188415,1.633531754793311,4.497598758965628,1,1,0,4.074215518478903,6.88951739444383
S3733,17.01674107800951,Male,2.449852228682881,0.9283430013587218,1.0809298593045578,No,69.52488463941525,6.260938713378464,Fair,0.9693283083713905,Master,Average,1.9958054624202601,Yes,46.318892793321595,2.4809225551839806,3.317521687484259,0,0,0,5.283036067820307,5.393875853512305
S3734,20.091536420653533,Female,2.6702905932737657,1.445747664468311,0.39517460962934475,No,82.7304053932983,7.912343169807031,Fair,1.1070230944004775,Bachelor,Poor,1.0,No,57.459201142110714,1.7935121893055317,3.138415042016603,0,-1,0,6.129669350098253,5.990618454197628
S3735,20.98591399969065,Male,4.3864219356919065,2.139885808313873,0.9046280785867192,No,75.97980646057681,8.92455865211562,Good,5.873230448818006,High School,Poor,4.085745295850422,Yes,84.52801337317717,3.30922610733641,6.568549756346466,1,-1,0,3.460233239686054,8.300142581004954
S3736,20.94716201833258,Female,2.943469249628644,3.2075008610736395,2.4029679885698707,Yes,73.35015805734709,8.310182552205918,Fair,3.80286633190162,High School,Average,7.066378079927091,No,65.15348599398547,5.091918499758895,6.245885389796541,0,0,1,4.98205888952274,6.981976356890614
S3737,19.98160880554628,Female,3.7537321681877014,4.929281296588474,1.8633199759708945,No,75.16353586933154,6.387745127645131,Poor,4.9168497836649285,High School,Average,5.959337413246295,No,65.81604712203722,4.395761432281061,4.845226365974933,-1,0,0,4.706481045064482,6.163497083531113
S3738,23.957232905483714,Female,4.567019657224984,1.430453837257624,2.1466013552351244,No,94.7610386168297,5.525994232940294,Good,3.0830279715053552,Master,Good,1.8630734754707985,Yes,64.57163486859815,3.4311584283061145,3.4137341454475747,1,1,0,3.8651129372474533,6.6364294564523885
S3739,20.844428656434918,Male,5.469064978323561,4.402570092202035,0.9468213323054628,No,74.356173699712,7.086740472985197,Fair,2.0600260689611742,,Good,4.011152227432909,No,81.90238544824915,5.308906276150285,7.960648924693115,0,1,0,3.745079218045095,7.033290886883707
S3740,21.9175222941731,Female,1.0862196064086402,1.1465771066442596,1.9197920111909232,No,70.101812185503,4.796948240355714,Poor,3.9837973665472823,Master,Poor,7.1858057552426615,No,59.046848367018704,3.1340401108019207,4.81091650092776,-1,-1,0,4.724497938573104,5.8617512690839915
S3741,20.06015829452708,Male,5.310476159149641,3.22968634182643,4.240740094579515,Yes,78.44919947058581,6.1620863951308245,Poor,0.10827795793889382,Bachelor,Poor,9.860432849223162,No,84.3085787607154,6.960005515967611,1.0,-1,-1,1,9.195006129502083,2.1200342622438373
S3742,18.037123304100234,Male,3.6876370781240833,2.595211916121163,3.043277902963238,No,94.9007275881722,5.889868348198675,Poor,3.061602806148423,High School,Average,1.7859741475381754,Yes,64.25927654704203,4.303855919343171,3.1438746883023923,-1,0,0,6.076129031828933,5.364940417696723
S3743,23.0193949377451,Male,3.479346492292101,2.9817532842529415,1.479651096359989,Yes,78.85116174189005,5.535592787567956,Good,0.0348347464995121,Bachelor,Average,8.737577024694433,No,65.81720311188633,4.299340321809003,4.888803401989673,1,0,1,5.037526539223998,5.931377597368782
S3744,20.885154914099505,Female,3.62252520249159,1.94210236169283,0.15877176105025792,No,76.48566301651606,7.075715416828739,Good,0.0,Bachelor,Good,1.7815051060082583,Yes,67.71843143200346,2.267371772891577,3.0734730363862997,1,1,0,4.455493204027809,5.9036315798596855
S3745,21.979053632069196,Female,4.898902439610965,3.260006385432347,3.016522612125928,No,78.87587662518848,6.9699857206625015,Fair,5.0907745850957555,Bachelor,Average,1.0,No,71.53522927994354,5.897649766496777,3.6074542824015654,0,0,0,5.9951799352038915,4.855263338971443
S3746,17.748755862236717,Female,3.5448751379274777,3.0703976098542776,1.4038028102768931,No,100.0,6.686358747864791,Poor,4.076491046208312,Bachelor,Good,4.799905184207082,No,74.83721139376868,3.9697011554545,4.820011632857588,-1,1,0,4.148813302139779,7.231293918383014
S3747,22.02059709497519,Female,2.5415168679856994,3.3344119630375166,5.120489949096104,No,79.8833798864622,9.022132055672742,Poor,0.0,Bachelor,Good,1.9466156804383294,No,51.22150332535941,5.2312403220804296,3.1854280633972474,-1,1,0,6.264833081461006,5.131742140212731
S3748,21.164897288380338,Male,5.21072367572155,3.875630626681135,2.7560594282629296,No,89.104667601185,4.517959833704244,Good,2.082375093279852,High School,Poor,3.0657254527861255,No,72.18569008182412,4.955330922521671,1.8236341024110592,1,-1,0,6.263546984717066,3.7984063098329583
S3749,23.829877817812925,Female,5.7685550817278655,1.3778311368876666,2.1182320460350192,Yes,89.24102650550881,7.835944050842889,Good,4.933797012680531,High School,Average,1.0,Yes,98.67673565067285,3.0840131706866005,5.903831231557755,1,0,1,5.189799394965296,7.66899904033458
S3750,20.932381031372998,Female,5.4947510689900945,1.488522471024204,1.4337088872339256,Yes,86.06825692271937,6.529010244293838,Good,2.023786464623845,Master,Poor,4.140498936802751,No,90.47488512555478,6.529254809560328,3.556762050688235,1,-1,1,6.553655295792506,4.1123455038264245
S3751,24.0,Male,5.560963768196378,0.17697597313877922,0.005108600241289094,No,76.39871597218364,6.727981831829602,Fair,4.040549407784597,Bachelor,Average,8.203233064178725,No,100.0,3.4257801896168885,5.376915839691238,0,0,0,3.6189285265629243,7.343558671789176
S3752,18.14458427319575,Female,7.413220437493023,3.4935744153412784,1.842374430098089,Yes,85.34459369990857,7.709020477548789,Fair,5.966072045726975,Bachelor,Average,3.2654706064496493,No,100.0,6.846062113489692,3.460910748214191,0,0,1,7.003148258477168,3.9726900981429507
S3753,21.94827264925749,Female,4.916167277344386,4.440798028860604,2.9163612767020735,No,94.29098004452706,5.580271032937634,Fair,2.0135810754627497,Bachelor,Good,3.209868834517379,No,68.94935248300551,4.6037290087434934,2.5025427040680626,0,1,0,5.473186413670268,5.449224382421012
S3754,18.920110867896696,Male,3.3721551203724234,2.196926512453237,0.4234789173673411,Yes,84.28619491703937,6.186401047090266,Good,4.061576980964979,Bachelor,Average,2.3435086908521954,No,64.65897184395216,8.619620085132626,5.7341054483418405,1,0,1,6.513770999886539,4.287051089429459
S3755,22.772776473515677,Female,2.4706904651693455,4.362646931468565,1.5438915977439982,No,84.70164506999714,6.761174105601114,Fair,4.890380745644934,Bachelor,Average,4.032753930105138,No,52.221150915827266,2.502841245033802,5.100638434466927,0,0,0,4.312599672009713,6.9151338338229875
S3756,19.01193727475085,Female,3.5309912876372973,3.1931539601999557,2.361821428455265,No,86.60200219126,8.001081767483798,Poor,2.0186337029582133,Bachelor,Good,9.114754839408203,No,75.23746786257695,2.31833168433866,4.475245971710839,-1,1,0,4.430674340633433,6.853294058941907
S3757,18.235665734834736,Female,4.5394278281125535,1.225458652241989,0.529035502471251,No,93.24447564107275,8.209839024899166,Good,4.224290449109682,Master,Good,3.9642385632109844,No,90.24316767498794,5.567752123038923,3.7244964200932342,1,1,0,3.942426668467208,6.214365517540191
S3758,24.0,Male,3.5430973664842553,1.7010873371294586,2.2752282168251727,No,70.16808841224805,9.298385095086214,Good,0.0,Bachelor,Average,6.094364635711733,No,67.58143589790522,1.913214597091018,6.42937799740074,1,0,0,4.023521949248549,8.27145288516606
S3759,19.997428894959107,Female,2.580240412463102,1.6117111060450269,1.2684986010717656,Yes,87.52665348556374,5.242230532487422,Good,6.0,Bachelor,Poor,10.0,No,71.33391020666897,4.2252967857685935,3.8623267926191174,1,-1,1,4.254954898702264,6.351204691125345
S3760,20.037169901096743,Male,6.385201676044716,2.5114563207269303,3.3710899260123686,No,85.21955328877011,6.157346708752554,Fair,5.990313677945283,High School,Good,4.7632309260068455,No,96.88345766216237,4.46665331213579,4.974889783047082,0,1,0,3.8421206836455406,7.084831244135703
S3761,17.998719927559037,Male,4.200013844660821,1.9105118515288129,2.6025482195054463,No,99.9461605819208,7.977542741986227,Fair,6.0,Bachelor,Good,7.785827746605467,No,92.18313320991884,4.954214049672861,5.5578029095126675,0,1,0,3.293458666757812,7.7585675674182895
S3762,18.906174096506025,Male,3.856906826462465,2.6164629971842452,1.6126938142794816,No,91.8342698316283,5.980776671119221,Fair,2.9267362285383354,Bachelor,Average,9.257555190530285,No,79.42337666547537,2.3404031334359714,5.632373321938758,0,0,0,3.7682571862423546,7.226068883482315
S3763,20.095010598277824,Other,3.2056356062246523,3.115187510223609,4.996570129949334,No,99.3818095889549,6.732122891869417,Good,5.000614399035843,High School,Poor,2.0220885631199756,No,57.855275300927886,4.220290041649023,3.8320690471814576,1,-1,0,5.537837041779867,6.179146006388048
S3764,22.02605400298306,Male,2.1134737032977102,1.8526344175375165,2.6893932258536424,Yes,70.91664951592763,6.951497356571178,Good,3.223898329178894,High School,Good,6.202219149291809,No,62.53140530782645,3.1512937113009034,3.8398988287633022,1,1,1,4.412703639739659,6.928637775137919
S3765,22.00203265690316,Male,2.8454877971731873,1.8593767807579784,3.4236149593843037,Yes,74.52066610793392,5.092743931385786,Good,5.982459488652047,High School,Average,4.919305055217357,No,59.02225243802171,4.628154082303319,4.246594400161515,1,0,1,4.493623250445756,6.1530353319287245
S3766,19.887437907779777,Male,3.501056278473112,3.5803409926364735,2.2397966157089546,No,83.89431326698869,7.5559018400445614,Fair,3.0641471513499394,High School,Average,6.87293569351673,No,74.96998423593601,4.214422536012658,4.517665132997764,0,0,0,4.753675328658573,6.826962121583328
S3767,24.0,Male,1.9139699481415118,3.0689540170475405,1.952446942273598,No,93.2572406208298,5.3088040476875555,Good,4.060208225995573,,Poor,5.987781690256421,No,54.73126537886856,1.320050967419465,4.774996555051673,1,-1,0,4.345685854420819,6.4855860222491275
S3768,22.076710003861837,Female,2.9821231340089764,4.667924011399301,1.889823986964585,No,80.87203071963981,5.562857245944822,Fair,0.0,High School,Average,8.111790348488388,No,60.97429631901474,4.0629232987684265,2.750249322738407,0,0,0,5.368381626036721,5.430415298542565
S3769,21.936190184458347,Female,2.108463734008786,2.0919303994899274,2.0897333492498302,No,74.78657448631402,5.656817551131248,Fair,0.045190059303185225,High School,Good,6.198198180021414,Yes,45.63579045860543,2.2578239789923225,3.3850179609990456,0,1,0,4.608372585348639,5.99297916720088
S3770,18.11561557242601,Female,4.295326564027196,3.499779474920693,1.4095249317668008,No,81.7903560494827,6.8134983555983055,Good,1.8746738827759122,Master,Average,4.026513818675885,No,74.51058155658114,3.032213048958078,4.62836830461922,1,0,0,4.1897609147992885,6.897969043670738
S3771,23.942577849719967,Male,4.247451258360782,2.991136639779426,2.1154114799951573,No,72.91247121095901,6.488452662065295,Poor,4.064094749881064,Bachelor,Poor,2.093064072038441,No,62.18928081976093,3.8727875959058506,3.104081712997446,-1,-1,0,6.2274734508321306,5.155365715181529
S3772,19.909752906315394,Female,5.051503367370694,1.4539063647680983,2.2627475457159436,No,56.71974622016439,5.510762798744756,Poor,2.0119210752123062,Master,Average,3.97954779698979,No,82.76410103749454,2.8008358240966817,3.500019102151257,-1,0,0,5.759743060306302,5.546660540115958
S3773,20.91232648054348,Female,4.2531055359046555,2.9014799270735656,2.4730551616155507,No,69.48213229769465,6.304880588324399,Fair,0.8870687509649711,High School,Good,1.2072729485589304,No,61.1174785531866,3.4574424308046687,3.839902256588063,0,1,0,5.03979461347347,5.646892566235053
S3774,23.79560987749662,Female,3.7887035917481784,3.402884968171675,1.8981744169365038,No,72.81486870417561,6.889235653904609,Poor,2.879441466512792,Bachelor,Good,2.20943783177163,Yes,57.52439874195279,4.488072845006352,3.448084394271849,-1,1,0,5.4116815646009835,5.753659960264264
S3775,20.054418336733022,Male,4.123416091692643,3.0705238513801882,1.8439102149857436,No,82.56571302636078,4.761403181150563,Fair,3.992631782390776,High School,Good,7.888200259724843,No,76.65464032198506,3.6028926690226286,4.6585173110393425,0,1,0,3.408903079416883,6.800814052889519
S3776,23.78867677066908,Female,2.720299965557928,2.130768162665229,2.7665982777737588,No,88.38411378514914,5.835892983034525,Good,0.25125652320916947,,Good,1.0545404371472018,Yes,48.484336204561124,1.7332566106512668,1.871719669926499,1,1,0,5.063909772709793,5.446305253002818
S3777,17.0,Male,4.393186939498857,3.7706313302276353,0.9728596445636495,No,95.56581822551637,4.79454669790601,Fair,1.1643954298228094,High School,Average,7.8582547352725065,No,69.55886252117074,3.501925069192831,3.7962366768032187,0,0,0,4.868143401686251,6.154521271876103
S3778,21.76046681722037,Female,4.095606872211607,4.007548274550787,1.0603997220081796,Yes,88.30158844919981,4.474387266826729,Good,2.036411360027298,High School,Average,2.1162164406832313,Yes,59.656935409046206,5.404220600633456,1.0,1,0,1,6.517132576903724,3.7961601134209264
S3779,17.0,Female,1.7935994302024016,3.0403454559587115,1.9463319959289067,No,81.05351758453408,4.93291907134197,Good,1.0521868573972755,High School,Average,9.943852977471664,No,47.19322562142511,1.3610946704678688,4.834480946209818,1,0,0,3.7046429280984348,6.504229061780545
S3780,18.982652271005456,Female,4.98379253062344,2.8590246439572633,1.5933436727912267,No,84.26479549315623,5.205535672717247,Good,4.060927004588626,High School,Average,6.886487431155484,No,85.5930471617527,3.7184372738329867,3.5837794882487475,1,0,0,4.133220347360982,6.510221706979105
S3781,23.962297631608827,Male,3.199831406294887,2.7386988812983057,0.0,No,98.04225897931367,7.276898435853521,Fair,1.945875605873441,Bachelor,Good,5.709553458188853,No,70.82511617469258,1.3609260611968514,5.085929071548181,0,1,0,3.4917770642398662,7.088925696023316
S3782,18.87968134696906,Female,3.929361634768157,0.644260380730091,0.7356995745191333,Yes,89.02799265538943,5.684633961298257,Poor,0.9298574735213526,High School,Poor,1.1541922707411558,Yes,71.24933731599684,4.440229644468767,1.040789318535851,-1,-1,1,7.049674909702834,3.695170967046537
S3783,17.86471839271848,Female,3.8500014510833274,1.5810500040231676,1.2092680693394147,No,64.06785407784798,7.580068863964234,Good,0.08618876772755449,Master,Average,9.027451287143048,Yes,74.03405407355912,3.6811243761481673,4.8563825747970935,1,0,0,3.526402021501856,7.057864228664751
S3784,19.0535905926011,Female,2.3729134298732895,3.640125748328164,3.64779919867546,No,86.60978137699654,6.932159988926425,Fair,5.939065321004385,High School,Average,1.0357467585175084,No,48.193814727735855,2.7773525469493245,5.0330491977662986,0,0,0,4.371104465938893,6.70434229234632
S3785,17.93646356795723,Female,4.7694741575917625,3.1261369247479456,1.951229779932092,No,74.92154140880882,5.355510836456817,Good,3.1458863863779407,,Good,6.118428922803474,No,71.34543275434723,3.7444843036778503,4.704190379436507,1,1,0,3.6720160105153186,7.293875668857636
S3786,21.036509324261328,Female,6.214546191203924,2.6643978157832464,0.9365048654727733,No,80.55731332471974,3.765412202870491,Fair,2.86295159132834,Bachelor,Good,3.8915341010756137,Yes,88.16896615827173,5.007202089224247,3.1104899029906914,0,1,0,4.871425975771174,5.102733548123241
S3787,19.897837897303635,Male,5.050587757540826,3.165252698199499,4.181949283945067,Yes,79.42973450724065,6.078910786779581,Poor,0.0,Bachelor,Poor,9.86927042170555,No,83.09297716034439,5.099617465619271,3.1609330377238143,-1,-1,1,6.98551169160498,3.8249479670813886
S3788,17.02089554134494,Female,3.4282869178451914,0.9552063734695038,0.40560553069995825,No,78.76706506786425,6.418902500735705,Fair,3.143365907644327,,Average,5.078207885620505,Yes,71.94231335841819,2.0729659068377004,4.119218405202518,0,0,0,4.00308029227879,6.496926453492192
S3789,19.150404769616927,Female,2.171633041986821,0.8309672378961815,1.9752253183582578,No,85.76732276556132,7.3423529147498305,Good,5.970950119877037,Master,Good,10.0,Yes,68.80626425589233,2.9832991958625144,8.115319857790738,1,1,0,1.229742488309727,9.316245793713643
S3790,18.0676464496762,Male,2.132972371903983,2.152976983265954,3.5266374543262904,No,87.81376126724882,5.8708206258296345,Fair,4.987584325838993,Master,Poor,4.0757596988686,No,57.63563117092854,3.3058633225152896,3.1368257792116117,0,-1,0,5.279637741718202,5.844005588458387
S3791,17.952405393523374,Female,4.728390936972661,0.6784748033193146,2.1512717035887814,No,90.10211835093895,4.400318408325827,Poor,1.0653636229028547,High School,Good,8.228194857098968,No,86.48914903207597,5.0898500177071355,1.0,-1,1,0,5.247722460528349,4.343262355694688
S3792,21.029682040803632,Female,2.623581205362813,1.8820824488351,3.1954810321133644,Yes,82.84880020698378,6.56496281015768,Fair,5.117350199406765,Master,Average,3.0803555131586977,No,59.914680705304555,4.760109727492651,4.173952364175422,0,0,1,5.059646446457973,5.747623378855423
S3793,19.972226041494125,Female,4.674863978729964,1.7303929202871429,0.11922577387750195,Yes,93.74694243169738,6.647916411050871,Fair,1.0617529715821539,Bachelor,Good,8.072590445331997,No,82.98719071675605,4.9068120064044205,4.65802582010984,0,1,1,4.4146852485333286,6.584273262396674
S3794,18.00090941251952,Male,3.1838490402630355,1.7307705890276515,0.7288641958848474,No,100.0,5.5438898522033035,Poor,4.029091520803629,Bachelor,Poor,3.117064284258631,No,55.92504080864761,3.1960006785590687,4.676769318537196,-1,-1,0,5.130335932826204,6.243243572440219
S3795,19.962422864591524,Female,3.7017978970272485,1.692248074276133,1.2879614292020582,No,92.36433392547939,6.277698258623131,Fair,6.0,Master,Good,9.96697850470074,No,81.10975923152336,4.2123277243936865,5.286841886144412,0,1,0,2.4311508536706397,8.016782846960256
S3796,18.981034899635045,Female,2.1292972941747306,4.973106574231861,0.8892734279874929,No,78.57755298155772,7.513662046876271,Poor,5.041434621892191,Master,Average,1.8231011376359856,Yes,46.56188189474487,3.302078201407488,4.515459713101824,-1,0,0,5.172012725807127,6.809681431842677
